Northern Colorado Regional Airport (KFNL)
Fort Dodge, IA (KFOD)
Fort Lauderdale, FL (KFLL)
Fort Leonard Wood, MO (KTBN)
Fort Myers, FL (KRSW)
Fort Smith, AR (KFSM)
Fort Walton Beach, FL (KVPS)
Fort Wayne, IN (KFWA)
Fort Worth/Dallas, TX (KDFW)
Franklin, PA (KFKL)
Fresno, CA (KFAT)
Gainesville, FL (KGNV)
Gallup, NM (KGUP)
Garden City, KS (KGCK)
Gary, IN (KGYY)
Gillette, WY (KGCC)
Gladewater/Kilgore, TX (KGGG)
Glasgow, MT (KGGW)
Glendive, MT (KGDV)
Golovin, AK (PGLV)
Goodnews Bay, AK (PGNU)
Grand Canyon, AZ Heliport (KJGC)
Grand Canyon, AZ National Park (KGCN)
Grand Forks, ND (KGFK)
Grand Island, NE (KGRI)
Grand Junction, CO (KGJT)
Grand Rapids, MI (KGRR)
Grand Rapids, MN (KGPZ)
Grayling, AK (PKGX)
Great Falls, MT (KGTF)
Green Bay, WI (KGRB)
Greensboro, NC (KGSO)
Greenville, MS (KGLH)
Greenville, NC (KPGV)
Greenville/Spartanburg, SC (KGSP)
Groton/New London, CT (KGON)
Gulfport, MS (KGPT)
Gunnison, CO (KGUC)
Gustavus, AK (PGST)
Hagerstown, MD (KHGR)
Hailey, ID (KSUN)
Haines, AK (PHNS)
Hampton, VA (KPHF)
Hana, HI Island of Maui (PHNM)
Hanapepe, HI (PPAK)
Hancock, MI (KCMX)
Hanover, NH (KLEB)
Harlingen, TX (KHRL)
Harrisburg, PA (KMDT)
Harrison, AR (KHRO)
Hartford, CT (KBDL)
Havasupai, AZ (KHAE)
Havre, MT (KHVR)
Hayden, CO (KHDN)
Hays, KS (KHYS)
Healy Lake, AK (PHKB)
Helena, MT (KHLN)
Hendersonville, NC (KAVL)
Hibbing/Chisholm, MN (PHIB)
Hickory, NC (KHKY)
High Point, NC (KGSO)
Hilo, HI Island of Hawaii (PITO)
Hilton Head, SC (KHHH)
Hobbs, NM (KHBB)
Hollis, AK (PHYL)
Holy Cross, AK (PHCR)
Homer, AK (PHOM)
Honolulu, HI Island of Oahu (PHNL)
Hoolehua, HI Island of Molokai (PMKK)
Hoonah, AK (PHNH)
Hooper Bay, AK (PHPB)
Hot Springs, AR (KHOT)
Houston, TX Hobby (KHOU)
Houston, TX Intercontinental (KIAH)
Hughes, AK (PHUS)
Huntington, WV/Ashland, KY (KHTS)
Huntsville, AL (KHSV)
Huron, SD (KHON)
Huslia, AK (PHSL)
Hyannis, MA (KHYA)
Hydaburg, AK (PHYG)
Idaho Falls, ID (KIDA)
Igiugig, AK (PIGG)
Iliamna, AK (PILI)
Imperial, CA (KIPL)
Indianapolis, IN (KIND)
International Falls, MN (KINL)
Inyokern, CA (KIYK)
Iron Mountain, MI (KIMT)
Ironwood, MI (KIWD)
Islip, NY (KISP)
Ithaca, NY (KITH)
Jackson Hole, WY (KJAC)
Jackson, MS (KJAN)
Jackson, TN (KMKL)
Jacksonville, FL (KJAX)
Jacksonville, NC (KOAJ)
Jamestown, ND (KJMS)
Jamestown, NY (KJHW)
Janesville, WI (KJVL)
Johnson City, NY (KBGM)
Johnson City, TN (KTRI)
Johnstown, PA (KJST)
Jonesboro, AR (KJBR)
Joplin, MO (KJLN)
Juneau, AK (PJNU)
Kahului, HI Island of Maui, (KOGG)
Kake, AK (PKAE)
Kakhonak, AK (PKNK)
Kalamazoo, MI (KAZO)
Kalaupapa, HI Island of Molokai, (KLUP)
Kalskag, AK (PKLG)
Kaltag, AK (PKAL)
Kamuela, HI Island of Hawaii, (KMUE)
Kansas City, MO (KMCI)
Kapalua, HI Island of Maui, (KJHM)
Kasaan, AK (PKXA)
Kasigluk, AK (PKUK)
Kauai Island/Lihue, HI (PLIH)
Kearney, NE (KEAR)
Keene, NH (KEEN)
Kenai, AK (PENA)
Ketchikan, AK (PKTN)
Key West, FL (KEYW)
Kiana, AK (PIAN)
Kilgore/Gladewater, TX (KGGG)
Killeen, TX (KILE)
King Cove, AK (PKVC)
King Salmon, AK (PAKN)
Kingman, AZ (KIGM)
Kingsport, TN (KTRI)
Kipnuk, AK (PKPN)
Kirksville, MO (KIRK)
Kivalina, AK (PKVL)
Klamath Falls, OR (KLMT)
Klawock, AK (PKLW)
Knoxville, TN (KTYS)
Kobuk, AK (POBU)
Kodiak, AK (PADQ)
Kona, HI Island of Hawaii (PKOA)
Kongiganak, AK (PKKH)
Kotlik, AK (PKOT)
Kotzebue, AK (POTZ)
Koyukuk, AK (PKYU)
Kwethluk, AK (PKWT)
Kwigillingok, AK (PKWK)
La Crosse, WI (KLSE)
Lafayette, IN (KLAF)
Lafayette, LA (KLFT)
Lake Charles, LA (KLCH)
Lake Havasu City, AZ (PHII)
Lake Minchumina, AK (PLMA)
Lanai City, HI Island of Lanai (PLNY)
Lancaster, PA (KLNS)
Lansing, MI (KLAN)
Laramie, WY (KLAR)
Laredo, TX (KLRD)
Las Vegas, NV (KLAS)
Latrobe, PA (KLBE)
Laurel, MS (KPIB)
Lawton, OK (KLAW)
Lebanon, NH (KLEB)
Levelock, AK (PKLL)
Lewisburg, WV (KLWB)
Lewiston, ID (KLWS)
Lewistown, MT (KLWT)
Lexington, KY (KLEX)
Liberal, KS (KLBL)
Lihue, HI Island of Kaui (PLIH)
Lincoln, NE (KLNK)
Little Rock, AR (KLIT)
Long Beach, CA (KLGB)
Longview, TX (KGGG)
Lopez Island, WA (KLPS)
Los Angeles, CA (KLAX)
Louisville, KY (KSDF)
Loveland/Fort Collins, CO Municipal Airport (KFNL)
Lubbock, TX (KLBB)
Macon, GA (KMCN)
Madison, WI (KMSN)
Madras, OR (KMDJ)
Manchester, NH (KMHT)
Manhattan, KS (KMHK)
Manistee, MI (KMBL)
Mankato, MN (KMKT)
Manley Hot Springs, AK (PMLY)
Manokotak, AK (PKMO)
Marietta, OH/Parkersburg, WV (KPKB)
Marion, IL (KMWA)
Marquette, MI (KMQT)
Marshall, AK (PMLL)
Martha’s Vineyard, MA (KMVY)
Martinsburg, PA (KAOO)
Mason City, IA (KMCW)
Massena, NY (KMSS)
Maui, HI (POGG)
Mcallen, TX (KMFE)
Mccook, NE (KMCK)
Mcgrath, AK (PMCG)
Medford, OR (KMFR)
Mekoryuk, AK (PMYU)
Melbourne, FL (KMLB)
Memphis, TN (KMEM)
Merced, CA (KMCE)
Meridian, MS (KMEI)
Metlakatla, AK (PMTM)
Meyers Chuck, AK (PWMK)
Miami, FL International (KMIA)
Miami, FL Sea Plane Base (KMPB)
Midland, MI (KMBS)
Midland/Odessa, TX (KMAF)
Miles City, MT (KMLS)
Milwaukee, WI (KMKE)
Minneapolis, MN (KMSP)
Minot, ND (KMOT)
Minto, AK (PMNT)
Mission, TX (KMFE)
Missoula, MT (KMSO)
Moab, UT (KCNY)
Mobile, AL (KMOB)
Modesto, CA (KMOD)
Moline, IL (KMLI)
Monroe, LA (KMLU)
Monterey, CA (KMRY)
Montgomery, AL (KMGM)
Montrose, CO (KMTJ)
Morgantown, WV (KMGW)
Moses Lake, WA (KMWH)
Mountain Home, AR (KWMH)
Mountain Village, AK (PMOU)
Muscle Shoals, AL (KMSL)
Muskegon, MI (KMKG)
Myrtle Beach, SC (KMYR)
Nantucket, MA (KACK)
Napakiak, AK (PWNA)
Napaskiak, AK (PPKA)
Naples, FL (KAPF)
Nashville, TN (KBNA)
Naukiti, AK (PNKI)
Nelson Lagoon, AK (PNLG)
New Chenega, AK (PNCN)
New Haven, CT (KHVN)
New Koliganek, AK (PKGK)
New London/Groton (KGON)
New Orleans, LA (KMSY)
New Stuyahok, AK (PKNW)
New York, NY Kennedy (KJFK)
New York, NY La Guardia (KLGA)
Newark, NJ (KEWR)
Newburgh/Stewart Field, NY (KSWF)
Newport News, VA (KPHF)
Newtok, AK (PWWT)
Nightmute, AK (PNME)
Nikolai, AK (PNIB)
Nikolski, AK (PIKO)
Noatak, AK (PWTK)
Nome, AK (POME)
Nondalton, AK (PNNL)
Noorvik, AK (PORV)
Norfolk, NE (KOFK)
Norfolk, VA (KORF)
North Bend, OR (KOTH)
North Platte, NE (KLBF)
Northway, AK (PORT)
Nuiqsut, AK (PNUI)
Nulato, AK (PNUL)
Nunapitchuk, AK (PNUP)
Oakland, CA (POAK)
Odessa/Midland, TX (KMAF)
Ogdensburg, NY (KOGS)
Oklahoma City, OK (KOKC)
Omaha, NE (KOMA)
Ontario, CA (KONT)
Orange County, CA (KSNA)
Orlando, FL Herndon (KORL)
Orlando, FL International (KMCO)
Oshkosh, WI (KOSH)
Ottumwa, IA (KOTM)
Owensboro, KY (KOWB)
Oxnard/Ventura, CA (KOXR)
Paducah, KY (KPAH)
Page, AZ (KPGA)
Palm Springs, CA (KPSP)
Panama City, FL (KPFN)
Parkersburg, WV/Marietta, OH (KPKB)
Pasco, WA (KPSC)
Pedro Bay, AK (PPDB)
Pelican, AK (PPEC)
Pellston, MI (KPLN)
Pendleton, OR (KPDT)
Pensacola, FL (KPNS)
Peoria, IL (KPIA)
Perryville, AK (PKPV)
Petersburg, AK (PPSG)
Philadelphia, PA International (KPHL)
Philadelphia, PA Trenton/Mercer NJ (KTTN)
Phoenix, AZ (KPHX)
Pierre, SD (KPIR)
Pilot Point, AK Ugashnik Bay (PUGB)
Pilot Point, AK (PPIP)
